texto,tipo,gravidade
"ele me cutucou, faz piadinhas sobre meu jeito de ser e controla dinheiro",mista,baixa
ele me tirou minha ferramentas de trabalho e joguei fora,patrimonial,alta
ele usou minha identidade para abrir empresa fraudulenta,patrimonial,alta
ele quebrou meu celular na briga porque eu tentei chamar alguém,patrimonial,media
meu companheiro destruiu minha câmera fotográfica que era meu trabalho,patrimonial,alta
"ele me bateu com cinto, me mantém sem dinheiro e me persegue onde quer que eu vá",mista,alta
meu namorado fica me chamando de nomes com conotação sexual,sexual,baixa
meu marido faz piadas sobre minha falta de conhecimento em certos assuntos,moral,baixa
"meu marido me bateu quando chegou bêbado, me xinga e não me deixa ter vida social",mista,media
ele me ofende dizendo que sou inadequada para qualquer coisa,moral,media
meu marido faz piadas sobre minha forma de organizar a casa,moral,baixa
meu marido faz insinuações sobre sexo na frente dos filhos,sexual,baixa
ele me diz que só faz isso porque se preocupa comigo,psicologica,media
ele conta para amigos sobre minhas falhas domésticas para me constranger,moral,baixa
"meu companheiro me agrediu fisicamente, forçou relação sexual e ameaça minha família",mista,alta
ele me ameaça dizendo que vai destruir minha vida se eu o deixar,psicologica,alta
meu namorado fica com raiva quando saio sem avisar,psicologica,baixa
"ele me controla onde vou, me toma dinheiro e me bateu uma vez que assustei",mista,media
ele disse para toda a família que abandonei os filhos quando fui pedir ajuda,moral,alta
meu companheiro diz que minha recusa é falta de amor,sexual,media
meu companheiro destruiu minha máquina de trabalho e eu fiquei desempregada,patrimonial,alta
"meu companheiro me bateu até perder os sentidos, me xinga e me mantém presa em casa",mista,alta
meu companheiro me fez assinar procuração e vendeu tudo que tínhamos,patrimonial,alta
meu marido me empurrou levemente durante a discussão,fisica,baixa
ele me deu socos no rosto até eu perder um dente,fisica,alta
ele me sacudiu para acordar e me machucou,fisica,media
"ele me estrangulou, me humilha diariamente e não me deixa ver meus filhos",mista,alta
ele me bateu com a mão quando eu tentei sair,fisica,media
"fui agredida com murros e pontapés, estou toda machucada",fisica,alta
meu companheiro me empurrou e disse que eu precisava parar de falar,fisica,baixa
"meu marido fica monitorando onde estou, me criticou muito e me empurrou levemente",mista,baixa
meu companheiro me deu uma surra e eu perdi a consciência,fisica,alta
meu marido me ofende dizendo que sou um peso para todos,moral,media
ele fica com o troco quando faço compras para a casa,patrimonial,baixa
meu companheiro me agrediu com pontapés quando eu tentei fugir,fisica,alta
"meu marido me empurrou de leve, não me dá dinheiro suficiente e me critica bastante",mista,baixa
ele me puxou pelo cabelo de leve durante a briga,fisica,baixa
meu marido me bateu com a palma da mão aberta no rosto,fisica,media
ele me ofende dizendo que sou uma decepção,moral,media
meu marido me proíbe de trabalhar e fico sem renda própria,patrimonial,media
meu companheiro destrói objetos da casa quando perde a paciência,patrimonial,media
meu companheiro colocou câmera escondida no banheiro,psicologica,alta
meu companheiro faz piadas sobre sexo que me envergonham,sexual,baixa
ele quebrou meu carregador de propósito para eu ficar sem celular,patrimonial,media
meu companheiro me abusou sexualmente e me proibiu de contar para qualquer pessoa,sexual,alta
meu companheiro faz comentários que me fazem questionar minha memória,psicologica,baixa
meu companheiro faz piadas que me diminuem na frente de outros,moral,baixa
ele não me deixa gastar com viagens para ver minha família,patrimonial,baixa
"meu companheiro me puxou o ombro de leve, me critica bastante e não me deixa sair",mista,baixa
"ele me bateu com a sandália, me mantém sem dinheiro e me verifica onde estou todo tempo",mista,media
meu marido não me deixa gastar com produtos naturais que gosto,patrimonial,baixa
meu marido me ameaça destruir minha reputação se eu sair,psicologica,alta
ele me jogou no chão e ficou pisando em cima de mim,fisica,alta
ele quer aprovar minhas compras antes de eu realizá-las,patrimonial,baixa
ele me apertou o rosto com a mão durante a discussão,fisica,media
ele me arrastou pelos cabelos da sala até o quarto me batendo,fisica,alta
meu marido não me deixa ter contato com minha família,psicologica,media
ele me arremessou contra a geladeira com toda força,fisica,alta
"meu companheiro me puxou de leve, me critica bastante e verifica meu celular",mista,baixa
meu namorado me deu um empurrão quando eu disse que queria terminar,fisica,baixa
meu companheiro me disse que conhece pessoas que podem me fazer desaparecer,psicologica,alta
meu marido me forçou a ter relações como parte de acordo por não me agredir,sexual,alta
meu namorado não me deixa ter reserva financeira separada,patrimonial,baixa
meu marido me bateu com o cinto da calça até eu sangrar,fisica,alta
ele reclama muito do jeito que eu faço as coisas em casa,psicologica,baixa
ele me forçou a praticar atos sexuais que eu nunca concordei,sexual,alta
meu namorado faz comentários negativos sobre minha família quando brigamos,psicologica,baixa
meu marido inventou que eu tenho caso com o chefe para me prejudicar,moral,alta
meu namorado me cobra explicações sobre meu passado sentimental,sexual,baixa
ele me critica pela forma como me relaciono com as pessoas,moral,baixa
ele me chama de louca quando conto para os outros o que ele faz,psicologica,media
ele diz que sou louca e que preciso de ajuda psicológica quando reclamo,psicologica,media
meu marido me humilha nas redes sociais publicamente com mentiras,moral,alta
ele me obrigou a participar de situações sexuais que me traumatizaram,sexual,alta
"ele me monitora 24 horas, colocou câmera no quarto sem eu saber",psicologica,alta
"ele me bateu quando bêbado, me humilha na frente dos filhos e me mantém dependente",mista,media
meu companheiro destruiu meu violão que era presente do meu pai,patrimonial,media
ele não me deixa ter acesso ao nosso dinheiro conjunto,patrimonial,media
meu companheiro me deu um soco no ombro que doeu muito,fisica,media
"meu namorado me empurrou, me chama de louca e me mantém sem dinheiro",mista,media
ele me bloqueou na cozinha com o corpo,fisica,baixa
"ele me espancou, destruiu todos meus documentos e disse que vai me matar se eu sair",mista,alta
meu companheiro inventou que tenho problema mental para que ninguém me acredite,moral,alta
"meu marido me deu um empurrão leve na briga, me diminui e controla meu salário",mista,baixa
ele me puxou pelo braço durante uma discussão,fisica,baixa
ele compartilhou fotos íntimas minhas com familiares para me envergonhar,sexual,alta
ele não me deixa frequentar a igreja,psicologica,media
"meu marido me sacudiu, me chama de louca e não me deixa trabalhar",mista,media
"ele me empurrou uma vez leve, faz piadinhas sobre minha inteligência e controla dinheiro",mista,baixa
ele me bateu com a sandália quando tentei sair,fisica,media
meu companheiro me ofende com apelidos humilhantes,moral,media
ele fica com ciúme quando recebo atenção de familiares,psicologica,baixa
meu marido fica com ciúme do tempo que passo com meus filhos de outro relacionamento,psicologica,baixa
ele reclama quando compro roupas sem mostrar para ele antes,patrimonial,baixa
"ele me bateu, me forçou sexualmente e ameaça divulgar vídeo que gravou sem minha permissão",mista,alta
ele esconde as chaves de casa para que eu não possa sair,patrimonial,media
ele me difamou para toda a turma da escola dos filhos,moral,alta
"meu namorado me deu um tapa, destruiu meu notebook e me ameaçou se eu contasse",mista,media
"ele me puxou leve, faz comentários negativos e controla quanto gasto",mista,baixa
ele espalhou mentiras sobre mim na escola dos meus filhos,moral,alta
ele quer ter acesso à minha conta do mercado livre,patrimonial,baixa
"meu companheiro me puxou a mão, não me deixa trabalhar sem dizer onde vai e me critica",mista,baixa
meu companheiro me enviou foto com arma apontada para si mesmo como ameaça,psicologica,alta
"ele me humilha na frente dos filhos, me toma dinheiro e às vezes me empurra",mista,media
meu marido me pressiona a ter relações mesmo quando estou menstruada,sexual,media
ele me deu uma surra com chicote que me deixou com marcas nas costas,fisica,alta
ele conta para os amigos sobre minhas dificuldades sem minha autorização,moral,baixa
ele me abusou sexualmente na frente do nosso filho pequeno,sexual,alta
ele fica desconfiado de qualquer homem que fala comigo,psicologica,media
ele não me dá dinheiro suficiente para as despesas da casa,patrimonial,media
meu marido faz comentários depreciativos sobre meu jeito de ser,moral,baixa
"ele me puxou leve, faz comentários ruins e controla quanto gasto por mês",mista,baixa
meu companheiro destruiu meus trabalhos artísticos por raiva,patrimonial,media
"meu marido me empurrou levemente, não me dá dinheiro para gastos pessoais e me critica",mista,baixa
meu companheiro não me deixa ter seguro de vida próprio,patrimonial,baixa
ele destruiu meu livro de clientes que eu levei anos para construir,patrimonial,alta
meu marido me empurrou e caí no chão,fisica,media
meu companheiro comenta negativamente sobre minhas escolhas culinarias,moral,baixa
"meu namorado me puxou pelo braço, me xinga de burra e não me deixa ter renda",mista,media
ele comenta negativamente sobre como me relaciono com minha família,moral,baixa
"meu companheiro me puxou os cabelos, me xinga e não me dá dinheiro suficiente",mista,media
ele conta histórias embaraçosas sobre mim para os amigos,moral,media
meu companheiro grita comigo na frente dos filhos e me diminui,psicologica,media
meu namorado fica comentando sobre outras mulheres de forma que me deixa mal,sexual,baixa
ele reclama quando não consigo fazer tudo que ele pede,psicologica,baixa
"meu namorado me segurou pelo ombro, quer saber onde estou e faz comentários ruins",mista,baixa
meu marido me pressiona a usar roupas que me deixam desconfortável,sexual,baixa
meu marido faz comentários negativos sobre minhas amizades,moral,baixa
meu namorado não me deixa ter limite de crédito alto sem sua aprovação,patrimonial,baixa
"ele me deu um cutucão, faz piadinhas sobre minha inteligência e não me deixa gastar",mista,baixa
ele me deixou sem dinheiro e sem comida para mim e para os filhos,patrimonial,alta
meu marido faz comentários sarcásticos sobre minhas ideias,moral,baixa
meu marido me diz que sem ele eu não sobrevivo,psicologica,media
meu companheiro me bateu com a mangueira de jardim,fisica,alta
ele me tirou o emprego ao ligar mentindo para meu chefe,patrimonial,alta
meu marido me empurrou e eu fui parar no jardim,fisica,media
ele me faz sentir julgada por minha forma de me relacionar com minha sexualidade,sexual,baixa
"ele me puxou pelo braço leve, me xinga às vezes e quer saber tudo que faço",mista,baixa
meu marido diz que todo casal normal tem relações sempre que o marido quer,sexual,media
meu namorado me humilha comparando com outras mulheres que ele conhece,moral,media
meu companheiro me jogou no chão durante uma briga de casal,fisica,media
ele me cutucou no braço repetidamente durante a discussão,fisica,baixa
ele conta para amigos situações privadas que me causam constrangimento,moral,baixa
meu companheiro me bloqueou de todos os serviços bancários que eu precisava,patrimonial,alta
meu companheiro diz que as minhas amigas são más influências,psicologica,media
"ele me puxou a roupa leve, me xinga às vezes e controla o que faço",mista,baixa
meu companheiro jogou um objeto em minha direção mas não me acertou,fisica,baixa
"ele me espancou repetidamente, tirou todo meu dinheiro e me ameaça de morte toda semana",mista,alta
ele me empurrou para o quarto com força,fisica,baixa
ele me diminui dizendo que sou uma mulher sem valor,moral,media
ele me bateu levemente no ombro enquanto reclamava,fisica,baixa
meu companheiro me forçou a fazer coisas que me causaram dor física,sexual,alta
ele me critica pelo que coloco na rede social,moral,baixa
ele me pede para prestar contas do que gasto mas não faz o mesmo,patrimonial,baixa
ele força situações íntimas que eu não me sinto confortável,sexual,media
meu namorado me empurrou durante a discussão na rua,fisica,media
meu marido reclama quando não faço o que ele planejou sem me consultar,psicologica,baixa
meu companheiro me manda conteúdo adulto sem eu pedir,sexual,baixa
meu marido faz piadas sobre minha forma de pensar,moral,baixa
ele me violentou sexualmente enquanto eu dormia ao seu lado,sexual,alta
meu namorado não me deixa usar meu dinheiro para ajudar minha mãe,patrimonial,baixa
ele faz comentários sobre outras mulheres de forma que me incomoda,sexual,baixa
ele me abusou sexualmente quando estávamos brigados e eu não queria,sexual,alta
meu namorado faz piadinhas sobre meu peso que me incomodam,moral,baixa
ele me diz que tudo que tenho foi ele que me deu,psicologica,media
"ele me humilha, não me deixa trabalhar e me agrediu fisicamente duas vezes",mista,media
meu companheiro me enviou endereço da escola dos meus filhos como ameaça,psicologica,alta
ele me isola dos meus amigos dizendo que eles são má influência,psicologica,media
ele não gosta quando tomo decisões importantes sem consultá-lo primeiro,psicologica,baixa
ele quebrou a televisão na briga da semana passada,patrimonial,media
"ele me bateu, destruiu meu negócio e disse que vai me matar se eu pedir divórcio",mista,alta
meu namorado aparece no meu trabalho para me controlar,psicologica,media
ele me deu uma facada no braço durante a discussão,fisica,alta
ele faz comentários que me fazem sentir que não tenho valor,psicologica,baixa
meu companheiro vendeu meus móveis sem me contar,patrimonial,alta
meu companheiro disse que vai me destruir se eu contar para a polícia,psicologica,alta
ele me estrangulou e eu quase morri,fisica,alta
"ele me espancou, me forçou a assinar transferência de bens e me ameaça de morte todo dia",mista,alta
ele quer controlar quanto gasto com alimentação dos filhos,patrimonial,baixa
ele me difamou nas redes sociais com mentiras que muitas pessoas acreditaram,moral,alta
meu marido me bateu na perna com o cinto,fisica,media
"meu companheiro me empurrou, espalhou mentiras sobre mim e não me dá dinheiro",mista,media
meu companheiro não paga as despesas e me deixa endividada,patrimonial,media
"ele me agrediu, forçou relação sexual e ameaça publicar minhas fotos se eu denunciar",mista,alta
"meu marido me agrediu fisicamente, espalhou mentiras para me demitir e me ameaça",mista,alta
meu marido me disse que vai me fazer passar por insana se eu o denunciar,psicologica,alta
ele me pressiona a assistir coisas que me deixam desconfortável,sexual,baixa
ele me ameaça me tirar a guarda dizendo que vai provar que sou louca,psicologica,alta
meu companheiro reclama quando converso sobre assuntos que ele não entende,psicologica,baixa
meu companheiro me espancou na rua na frente de testemunhas,fisica,alta
meu companheiro me difamou em grupo de moradores para me isolar,moral,alta
ele faz comparações sexuais que me deixam mal,sexual,baixa
meu marido reclama quando compro eletrônicos para uso pessoal,patrimonial,baixa
ele conta histórias engraçadas sobre mim sem minha permissão,moral,baixa
ele fica com meu dinheiro e às vezes me xinga durante as brigas,mista,baixa
"ele me bateu quando estava bêbado, me toma todo o salário e me diminui",mista,media
ele me toca de forma inadequada mesmo sabendo que não gosto,sexual,baixa
meu companheiro me mordeu e deixou marcas pelo corpo,fisica,alta
meu companheiro critica publicamente meu senso de humor,moral,baixa
meu companheiro me deu um tapa quando reclamei da bebida,fisica,media
meu marido não me deixa ir ao médico sem ele presente,psicologica,media
ele não gosta quando gasto dinheiro em passeios com os filhos sem ele,patrimonial,baixa
meu companheiro saiu com todo o dinheiro da casa e eu fiquei sem nada,patrimonial,alta
meu companheiro quer controlar meus gastos com saúde,patrimonial,baixa
ele me faz sentir que preciso performar sexualidade que não tenho,sexual,baixa
meu marido me bate quando está alcoolizado,fisica,media
meu companheiro faz comentários que me fazem sentir menos capaz,psicologica,baixa
ele me empurrou e eu bati com a cabeça no armário,fisica,media
ele conta para a família situações íntimas que me constrangem,moral,baixa
ele reclama quando gasto com plataformas de entretenimento,patrimonial,baixa
ele me impediu de trabalhar e eu perdi o contrato,patrimonial,alta
"ele controla tudo que eu faço, com quem falo e o que visto",psicologica,media
meu marido me humilha dizendo que sou uma vergonha para a família,moral,media
"ele me cutucou, faz comentários ruins e não me deixa ter acesso ao salário",mista,baixa
meu companheiro me faz comentários sobre como eu me relaciono sexualmente,sexual,baixa
meu namorado fica verificando se minha roupa está adequada,psicologica,media
ele insiste mesmo quando estou claramente indisposta,sexual,media
"ele me bateu uma vez, me isola da família e me diminui constantemente",mista,media
ele me puxou pelo braço com força durante a discussão,fisica,media
ele comenta negativamente sobre minhas decisões na frente de outros,moral,baixa
meu companheiro me abusou sexualmente aproveitando que eu estava dormindo,sexual,alta
"meu marido me agrediu, destruiu meu equipamento e me ameaça de morte se eu denunciar",mista,alta
ele jogou o controle remoto na minha direção mas não me acertou,fisica,baixa
"ele me espancou e filmou pra me chantagear, me xinga e tirou todo meu dinheiro",mista,alta
meu marido me empurrou quando eu tentei falar com ele,fisica,media
ele me empurrou levemente ao entrar em casa depois de beber,fisica,baixa
ele disse que tem gente para me fazer sumir se eu for embora,psicologica,alta
ele faz piadas que expõem minhas vulnerabilidades,moral,baixa
ele fica de mau humor quando faço planos sem incluí-lo,psicologica,baixa
meu companheiro me humilha publicamente quando sai com os amigos,moral,media
"ele me empurrou uma vez leve, faz comentários ruins e não me deixa ter renda própria",mista,baixa
"meu companheiro me bateu uma vez, me humilha na frente da família e me isola",mista,media
meu companheiro gravou nossas relações sem meu conhecimento e ameaça divulgar,sexual,alta
ele me compara com amigas de forma que me deixa para baixo,moral,baixa
ele ameaçou jogar meu filho pela janela se eu não obedecer,psicologica,alta
ele destruiu meu caderno de receitas que levei anos para construir,patrimonial,media
meu marido me difamou para meu irmão inventando que sou usuária de drogas,moral,alta
meu marido me controla cada gasto e exige recibos de tudo,patrimonial,media
meu marido não me dá dinheiro para compras pessoais,patrimonial,baixa
ele me toca em locais que me deixam desconfortável sem pedir permissão,sexual,baixa
ele me ofende com palavrões na frente dos filhos,moral,media
meu marido vendeu o apartamento que estava no meu nome sem me consultar,patrimonial,alta
ele me caluniou dizendo que sou viciada em jogo para me desacreditar,moral,alta
ele não me deixa pagar cursos presenciais por serem caros,patrimonial,baixa
ele me torceu o pulso durante a discussão,fisica,media
meu companheiro espalhador histórias sobre mim para meus filhos adolescentes,moral,alta
ele destruiu minha horta urbana que era minha fonte de renda alternativa,patrimonial,alta
meu marido me diz que fui eu que provoquei os conflitos,psicologica,media
ele faz comentários sobre a vida sexual de outras pessoas que me incomodam,sexual,baixa
meu marido me obrigou a ter relações mesmo eu tendo febre,sexual,alta
ele me agrediu fisicamente e me deixou com cicatrizes permanentes,fisica,alta
"ele me puxou o cabelo, me xinga de vagabunda e não me dá acesso ao dinheiro",mista,media
ele me agrediu com uma chave de fenda,fisica,alta
ele faz comentários negativos sobre meu histórico sentimental,moral,baixa
ele me ameaça de morte toda vez que tento sair de casa,psicologica,alta
meu companheiro me diz que meu jeito de ser provoca os problemas,psicologica,media
"ele manipula minha memória, diz que as coisas que eu lembro não aconteceram",psicologica,media
ele me queimou com cigarro no braço,fisica,alta
ele quer controlar meu cartão de crédito,patrimonial,baixa
meu marido me violentou sexualmente repetidas vezes durante nosso casamento,sexual,alta
meu companheiro quer ter acesso ao meu aplicativo bancário,patrimonial,baixa
ele criou e compartilhou fake news sobre minha vida,moral,alta
meu namorado me faz sentir inadequada por não querer o que ele quer,sexual,baixa
ele me critica pelo que visto quando saímos juntos,moral,baixa
meu marido faz comentários sobre minha inteligência que me deixam mal,moral,baixa
meu ex me persegue e fica do lado de fora da minha casa toda noite,psicologica,alta
ele me xinga quando não consigo fazer algo que ele quer,moral,media
meu namorado me puxou pelo braço para continuar a discussão,fisica,baixa
meu marido me caluniou para todos os colegas de trabalho,moral,alta
ele me disse que se eu for à delegacia eu não voltarei para casa,psicologica,alta
ele me agarrou pelo pescoço e me levantou do chão,fisica,alta
meu namorado faz comentários sobre minha aparência que me incomodam,moral,baixa
ele me deu uma pancada na cabeça com um vaso de planta,fisica,alta
meu marido não aceita meu não e fica insistindo,sexual,media
ele me deu um empurrão leve que disse ser brincadeira,fisica,baixa
"ele me agrediu, destruiu tudo que eu tinha de valor e me ameaça de uma forma que tenho medo",mista,alta
ele quebrou o espelho do banheiro durante a briga,patrimonial,media
meu companheiro destruiu todas as fotos da minha família,patrimonial,alta
ele me puxou pelo braço e me jogou no sofá,fisica,media
ele me acusou falsamente de roubar dinheiro dos filhos,moral,alta
ele me humilha na frente dos filhos dizendo que não sirvo para nada,moral,media
"ele me deu um tapa, me isola da família e me xinga de vagabunda todos os dias",mista,media
ele me critica pela forma como me expresso em público,moral,baixa
meu companheiro fica fazendo comentários sobre meu peso de forma sexualizada,sexual,baixa
meu namorado verifica minha localização GPS a toda hora,psicologica,media
ele me deu um tapa quando eu fiz uma pergunta que não gostou,fisica,media
meu companheiro fica com todo o dinheiro do aluguel que recebemos,patrimonial,media
ele me empurrou e eu bati a cabeça no chão,fisica,media
ele me diz que não me ama mais quando eu não quero ter relações,sexual,media
ele me critica de forma que me deixa constrangida às vezes,moral,baixa
ele me deu uma sacudida nos ombros durante a briga,fisica,baixa
meu marido não me deixa ter amigos,psicologica,media
meu companheiro me bateu com a corrente do cachorro,fisica,alta
"ele me agrediu fisicamente, me forçou a ter relações e me deixou sem dinheiro para os filhos",mista,alta
ele reclama quando gasto com produtos para cabelo,patrimonial,baixa
meu marido reclama quando compro algo caro sem pesquisar preço antes,patrimonial,baixa
fui empurrada contra a porta pelo meu companheiro,fisica,media
ele quer decidir onde guardar meu dinheiro,patrimonial,baixa
"ele me empurrou contra a parede, me isola dos amigos e me xinga diariamente",mista,media
ele pegou o dinheiro do meu FGTS sem minha autorização,patrimonial,alta
meu namorado me cutucou no ombro com força enquanto falava,fisica,baixa
ele quebrou a porta do quarto com força durante a briga,patrimonial,media
meu companheiro me filmou despida sem minha autorização,sexual,alta
meu companheiro me difamou para toda a família estendida com mentiras,moral,alta
ele me diz que sou problemática e que qualquer homem fugiria de mim,psicologica,media
meu companheiro quer controlar meu plano de celular,patrimonial,baixa
ele me faz sentir que preciso justificar por não querer,sexual,media
"meu companheiro me verifica o celular, destrói objetos meus e me xinga às vezes",mista,media
ele vendeu a terra que era herança dos meus pais,patrimonial,alta
ele me chama de histérica quando reclamo de algo,moral,media
meu marido me fez ficar devendo pensão que eu não tenho como pagar,patrimonial,alta
ele destruiu meu equipamento de informática que eu usava para trabalhar em casa,patrimonial,alta
meu companheiro me forçou a ter relações sem proteção repetidamente,sexual,alta
ele me deu um empurrão forte que me fez cair,fisica,media
ele me deu uma paulada nas costas,fisica,alta
meu marido me critica por tudo que faço em casa,psicologica,media
"ele me deu um cutucão no ombro, faz comentários sobre minha aparência e controla saídas",mista,baixa
meu marido me humilha dizendo que estou ficando velha e feia,moral,media
meu companheiro fica me tocando em locais inadequados quando ninguém está vendo,sexual,baixa
ele espalhador que sou viciada em álcool para que ninguém me ajude,moral,alta
ele destrói presentes que minha família me dá,patrimonial,media
ele me diminui dizendo que sou menos do que ele merecia,moral,media
ele comenta negativamente sobre minhas opiniões para terceiros,moral,baixa
meu marido disse que vai machucar minha família se eu não obedecer,psicologica,alta
ele vendeu os pertences dos nossos filhos sem minha permissão,patrimonial,alta
ele fica na frente da minha casa com arma na mão me ameaçando,psicologica,alta
ele me disse que já me vigia há meses sem eu saber,psicologica,alta
"meu marido me bateu até eu desmaiar, me xinga de louca e me ameaça de morte",mista,alta
ele usa meu celular sem permissão e apaga mensagens,patrimonial,media
meu companheiro me diz que só ele sabe o que é bom para mim,psicologica,media
meu marido me ameaça me abandonar em lugar perigoso se eu reclamar,psicologica,alta
"ele me empurrou contra a parede, me humilha na frente dos outros e me mantém dependente",mista,media
meu companheiro diz que minha família só quer me prejudicar,psicologica,media
ele me enviou fotos de armas com ameaças de morte,psicologica,alta
meu companheiro quer ver extrato bancário do que eu gasto,patrimonial,baixa
"ele me empurrou leve, reclama quando gasto e me faz comentários ruins",mista,baixa
ele reclama quando fico muito tempo no telefone com amigas,psicologica,baixa
meu companheiro me ameaça dizendo que conhece pessoas perigosas,psicologica,alta
ele me critica na frente de outras pessoas frequentemente,moral,baixa
ele faz comentários sobre como as mulheres deveriam ser sexualmente,sexual,baixa
ele diz que todo homem vai partir para outro lado se eu não ceder,sexual,media
ele quer controlar meus gastos com transporte,patrimonial,baixa
ele me diz que eu não consigo nada sem ele,psicologica,media
ele bloqueou minha conta bancária e eu não consigo acessar,patrimonial,alta
ele me agarrou pelo braço e me machucou,fisica,media
meu marido transferiu todo o dinheiro da nossa conta e sumiu,patrimonial,alta
meu namorado faz piadas sobre minha ingenuidade,moral,baixa
meu companheiro me diminui dizendo que sou menos capaz que outras,moral,media
meu namorado me segurou pelo braço para que eu ficasse,fisica,baixa
meu marido reclama quando compro algo sem o desconto máximo possível,patrimonial,baixa
ele me disse que fez isso com a ex e pode fazer comigo também,psicologica,alta
meu marido me forçou a ter relações com dor sem se importar,sexual,alta
"meu marido me bateu, me humilhou, me isolou e ameaça me fazer sumir se eu for à polícia",mista,alta
meu marido me segurou pelo pescoço mas sem apertar,fisica,baixa
meu companheiro destruiu meu equipamento de academia que usava para trabalhar,patrimonial,alta
ele me tirou meu instrumento de trabalho e não posso mais trabalhar,patrimonial,alta
ele me atacou com um machado e me cortou o braço,fisica,alta
"ele me empurrou, me humilha na frente dos outros e me mantém sem acesso ao dinheiro",mista,media
ele me deu um safanão que me desequilibrou,fisica,media
ele usa meu benefício social sem minha autorização,patrimonial,media
meu companheiro me deu uma surra que me deixou hospitalizada por dias,fisica,alta
meu namorado me humilha dizendo que nunca vou conseguir nada sozinha,moral,media
"meu marido me espancou, destruiu minha fonte de renda e me ameaça com câmera que instalou em casa",mista,alta
"ele me empurrou uma vez leve, faz comentários ruins e não me deixa ter dinheiro",mista,baixa
ele me proíbe de usar transporte público sozinha,psicologica,media
meu marido me segurou pelo pulso quando tentei pegar minha bolsa,fisica,baixa
ele faz comentários sobre meu cabelo que me incomodam,psicologica,baixa
meu marido fica com as notas de compras para controlar meus gastos,patrimonial,media
ele me xinga de vaca e vagabunda todos os dias,psicologica,media
meu namorado fica irritado quando dedico tempo ao meu desenvolvimento pessoal,psicologica,baixa
"meu companheiro me puxou pelo braço, me critica bastante e controla meu salário",mista,baixa
meu namorado faz comentários que me fazem sentir insegura,psicologica,baixa
"ele me deu um tapa, destrói coisas minhas e me mantém dependente financeiramente",mista,media
ele fica de cara feia quando não faço do jeito que ele quer,psicologica,baixa
ele quer controlar meu limite no cartão de crédito,patrimonial,baixa
meu companheiro me ameaça jogar meus filhos para o conselho tutelar se eu reclamar,psicologica,alta
meu marido me deixou sem acesso a qualquer dinheiro durante meses,patrimonial,alta
meu namorado fica com ciúme de qualquer pessoa que me trata bem,psicologica,media
meu companheiro me faz sentir que tenho obrigação de estar sempre disponível,sexual,baixa
ele vendeu fotos minhas sem minha permissão,sexual,alta
"ele me espancou, me forçou a ter relações e publicou mentiras sobre mim para me destruir",mista,alta
meu companheiro reclama quando compro algo sem avisar,patrimonial,baixa
meu companheiro me humilha comparando com outras mulheres,moral,media
"ele me deu um tapa, me humilha dizendo que não sirvo para nada e me controla",mista,media
meu namorado me empurrou no trânsito e eu fui atropelada,fisica,alta
ele me forçou a ter relações logo que cheguei do hospital,sexual,alta
ele me disse que vai me destruir financeiramente se eu pedir separação,psicologica,alta
ele me pressiona a compartilhar fotos pessoais que não quero,sexual,baixa
ele me violentou sexualmente afirmando que eu havia provocado isso,sexual,alta
ele me ofende com palavrões na frente de outras pessoas,moral,media
ele me sacudiu com força pela camisa,fisica,media
meu marido me deu um cutucão no ombro durante a briga,fisica,baixa
meu marido me pegou pelo pescoço mas não apertou muito,fisica,media
ele me disse que vai me perseguir pelo resto da vida se eu o deixar,psicologica,alta
ele me chama de inútil sempre que discutimos,moral,media
meu companheiro me difamou para profissionais de saúde que me tratam,moral,alta
ele me forçou a realizar atos sexuais que nunca consenti,sexual,alta
ele me diz que sou muito ingênua e que precisa me proteger,psicologica,media
"ele controla onde vou, com quem falo e me agrediu na última discussão",mista,media
ele me jogou pela escada abaixo e eu perdi o bebê,fisica,alta
"meu companheiro me agrediu fisicamente, me mantém sem dinheiro e me ameaça com arma de fogo",mista,alta
meu companheiro me pressiona a ter relações logo que chego do trabalho cansada,sexual,media
ele me fez gastar todo meu dinheiro com suas dívidas,patrimonial,alta
ele me forçou a ter relações em troca de dinheiro para pagar conta,sexual,alta
meu namorado me humilha na frente dos colegas de trabalho,moral,media
meu companheiro limpou nossa conta poupança antes de fugir,patrimonial,alta
meu marido destruiu todos os meus documentos e cartão do banco,patrimonial,alta
meu namorado conta sobre meus erros passados para amigos,moral,baixa
ele me arrastou pelo braço pela sala,fisica,media
meu namorado bateu na mesa perto de mim para me assustar,fisica,baixa
meu marido diz que se eu não ceder ele vai buscar em outro lugar,sexual,media
ele me obrigou a ter relações em local público contra minha vontade,sexual,alta
meu marido me bate quando perde no jogo,fisica,media
"meu namorado me segurou pelo pulso leve, me critica e não me dá dinheiro suficiente",mista,baixa
ele me forçou a gravar relações que depois ameaça usar como chantagem,sexual,alta
meu companheiro não gosta quando converso sobre meus planos futuros sem incluí-lo,psicologica,baixa
meu companheiro me diz que estou sendo difícil quando tenho limites,sexual,media
meu namorado faz perguntas sobre minha vida sexual passada que me incomodam,sexual,baixa
ele me bateu com a mão tão forte que meu ouvido ficou zuando,fisica,alta
"meu companheiro me puxou o ombro leve, me critica e não me deixa sair sozinha",mista,baixa
"fui espancada, me chamou de louca na frente de todos e quebrou tudo em casa",mista,alta
meu namorado me pressiona a aceitar coisas que me causam desconforto,sexual,baixa
